<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.27,20:00:00,1.08665,1.08676,1.08564,1.0866,3238
2023.01.27,21:00:00,1.0866,1.08724,1.08644,1.08686,2663
2023.01.27,22:00:00,1.08688,1.08731,1.0864,1.08653,2542
2023.01.27,23:00:00,1.08654,1.08693,1.08646,1.08673,1059
2023.01.30,0:00:00,1.08583,1.08655,1.08579,1.08641,280
2023.01.30,1:00:00,1.08641,1.08727,1.08641,1.08719,784
2023.01.30,2:00:00,1.08719,1.08752,1.08692,1.08745,1569
2023.01.30,3:00:00,1.08745,1.08753,1.08613,1.08736,2400
2023.01.30,4:00:00,1.08737,1.08737,1.08655,1.08692,2029
2023.01.30,5:00:00,1.08693,1.08694,1.08644,1.08686,1176
2023.01.30,6:00:00,1.08685,1.08793,1.08679,1.08764,4126
2023.01.30,7:00:00,1.08758,1.08769,1.08644,1.08693,2211
2023.01.30,8:00:00,1.08693,1.08696,1.08583,1.08621,2032
2023.01.30,9:00:00,1.08619,1.08698,1.08531,1.08598,3944
2023.01.30,10:00:00,1.08598,1.08896,1.08598,1.08815,6917
2023.01.30,11:00:00,1.08815,1.09041,1.08766,1.09019,5224
2023.01.30,12:00:00,1.0902,1.09138,1.09017,1.09108,4565
2023.01.30,13:00:00,1.09108,1.09115,1.08907,1.08964,4069
2023.01.30,14:00:00,1.08967,1.09095,1.08931,1.09039,3653
2023.01.30,15:00:00,1.0904,1.09112,1.08862,1.08862,4696
2023.01.30,16:00:00,1.08864,1.08997,1.08798,1.08915,6205
2023.01.30,17:00:00,1.08914,1.08993,1.08676,1.08708,7851
2023.01.30,18:00:00,1.08708,1.08748,1.08607,1.08659,5661
2023.01.30,19:00:00,1.08658,1.08669,1.08575,1.08578,4257
2023.01.30,20:00:00,1.08578,1.08607,1.08502,1.08545,3429
2023.01.30,21:00:00,1.08546,1.08556,1.08393,1.08462,3208
2023.01.30,22:00:00,1.08461,1.08546,1.08442,1.08459,3198
2023.01.30,23:00:00,1.08464,1.08525,1.08456,1.085,1278
2023.01.31,0:00:00,1.0848,1.08513,1.0846,1.08503,2063
2023.01.31,1:00:00,1.0851,1.0851,1.08465,1.08496,749
